# DOLCHEO+ encoding TSV — schema per canon/governance/writing-conventions.md
# D, O, L, C rows (6 cols): type	title	body	evidence	alternatives	status
# H rows (4 cols):           type	title	body	owner
# O-open rows (5 cols):      type	open	priority	title	body
# Tab-separated. Order within file: D/O/L/C/H first, then O-open at end.
D	Recreate Sovée Transcribr for the AI world	Build a media transcoding proxy that delivers media at the right filesize for its intended delivery context, best quality for that budget, via an automagic GET-param URL and an MCP control surface for LLM-driven optimization.	The automagic URL is the product identity — drops into an img/audio tag with zero integration. The MCP layer exposes the same parameters to an LLM caller. Sovée Transcribr is the spiritual ancestor, reframed for an AI-mediated world.	Build from scratch as a clean reimplementation	reversible
O	Patent US9565430B1 is expired	US9565430B1 ("Apparatus and method for video encoding and transcoding system"), priority 2011-12-15, granted 2017, lists Christopher Klapp among inventors, assigned to Kingdom Site Ministries. It lapsed 2021-02-07 for non-payment of maintenance fees.	Google Patents, full patent fetched	verified
L	Protection comes from execution, not the patent	The expired patent's teachings are public domain — free to reimplement, no licensing or infringement risk, but no enforceable monopoly. The resolution-overshoot trick was never claimed in the patent; it was operator know-how. Protection now rests on execution and AI-era framing.	O: Patent US9565430B1 is expired; patent claims cover adaptive bitrate switching, not the overshoot trick	general
D	Half-step resolution overshoot with floor-locked bitrate	For images and video, overshoot the delivery target's expected resolution class by a HALF step (480p to 540p, 720p to ~960p), encode at that resolution, hold the bitrate/byte budget to the lower expected-class floor, scale down on display. The downscale low-passes compression artifacts into soft blur.	The half-step is the ceiling — a full class up starves the bitrate so badly the higher-res encode degrades before it can scale. Verified with the operator: half-step matches Sovée-era findings; full-class does not.	Full-class overshoot (starves bitrate); no overshoot (artifacts visible at expected resolution)	permanent
C	Per-axis perceptual leash	Every perceptual axis has a different leash — how far it can be degraded before a human notices. Push each to just short of its breaking point. Chroma subsampling: long leash, push hard. Color depth: short leash, banding is the wall, reduce only gently. Resolution: half-step ceiling. Audio bit budget: long leash. Audio sample rate: short leash, floored to content's true frequency range.	D: Half-step resolution overshoot; operator bit-depth and chroma-subsampling findings	permanent
O	Confetti is incompressible content	Some content (confetti — thousands of tiny high-frequency independent moving objects) cannot be made sharp at low bitrate by any codec setting. A paused confetti frame is always a blur.	Operator experience at Sovée	verified
D	Confetti perceptual triage	Do not spend bit budget fighting content that will be lost regardless. Detect what the human will scrutinize (faces, text, edges, logos, clean structure), protect that ferociously, let the unwinnable content blur. Outperforming same-bitrate competitors comes from not losing the frames that matter, not from winning the confetti frame.	O: Confetti is incompressible content; perceptual budget is finite	Spend budget uniformly across all frames	permanent
D	V1 scope: images and audio; video deferred	V1 ships images and audio. Video is deferred from launch — not from architecture. The architecture is built for all three from day one; video is simply not turned on at v1 because images and audio are the real near-term need and are cheap.	Images transcode synchronously and complete-and-cached; audio is light. Video carries materially higher compute cost with no customer paying for it yet. Building the architecture video-ready costs nothing extra.	Ship all three at once; defer video at the architecture level	reversible until launch
D	Two audio presets: voice and music	Audio has exactly two presets, no dynamic per-request dials. Voice: mono, frequency ceiling dropped to where speech lives (~16kHz sample rate is free), bitrate floored low. Music: full frequency ceiling preserved, stereo when source has it, bit budget cut only as far as inaudible.	Presets, not a settings panel, IS the product — the automagic promise dies if users face dials. A preset is a named bundle of settings; adding more later is adding entries, not reworking. Caller-supplied flag; spectral auto-detect is the floor; LLM is a smart caller.	Dynamic per-request audio settings; a single auto preset; more than two presets	reversible
C	Borrow accepted recipes, do not invent	Adopt existing field-tested encoding recipes (Opus voice config, compressive-image recipes, MozJPEG/WebP/AVIF presets, chroma subsampling defaults) rather than reinventing encoder settings. But at pick-time this is a search-and-verify step, not from-memory — the image codec landscape shifted recently (AVIF, JPEG-XL); verify any recipe is current before adopting.	D: the product is a distribution play, not an encoder-research play; fifteen years of public benchmarking already did the R&D	permanent
L	Audio: protect sample rate, spend bit budget	Sample rate and bit budget are different kinds of knob. Sample rate sets the frequency ceiling — cut it and you delete top octaves outright (audible loss). Bit budget sets the noise floor — cut it and you raise a hiss that stays buried on a forgiving playback chain. Protect sample rate; harvest savings from codec bitrate and channel layout.	Operator teenage CD-ripping finding: 16/8/4-bit indistinguishable on cheap speakers; 48/44/24/12kHz sample-rate drops audibly "nuked" clarity	general
