# DOLCHEO+ encoding TSV - schema per canon/governance/writing-conventions.md
# D, O, L, C rows (6 cols): type	title	body	evidence	alternatives	status
# H rows (4 cols):           type	title	body	owner
# O-open rows (5 cols):      type	open	priority	title	body
# Tab-separated. Order within file: D/O/L/C/H first, then O-open at end.
# Session: 2026-06-22 response file-savings headers + CORS (extend X-Transcode-*, open CORS, defer /stat)
D	Savings headers extend the as-built X-Transcode-* family	Add X-Transcode-Source-Bytes (from env.IMAGES.info().fileSize) and X-Transcode-Encoded-Bytes (from the encoded ArrayBuffer byteLength) to the image transcode response. Both numbers are already computed on the transcode path and currently discarded. Carries through the cache-HIT path for free because HIT clones the stored headers.	src/worker.ts: ImagesBinding.info returns fileSize (line 30); info read (line 220); responseHeaders built (lines 263-274); buf byteLength (line 279); HIT clones cached headers (lines 174-176)	Canon design-session names X-Encode-Dimension/X-Bound-By/X-Quality (never shipped; migrating would break the consuming app and the demo page for a cosmetic rename); a single combined savings header (two clean integers are easier for callers to read and diff)	working - needs worker code + tests (fresh session)
D	Open CORS on every served response	Add Access-Control-Allow-Origin: * and Access-Control-Expose-Headers (the full X-Transcode-* set + Content-Length) to every served response - transcode, passthrough, no-binding, audio passthrough, and error - via one DRY helper. Without Expose-Headers a browser cannot read the custom headers cross-origin, which is the actual reason the consuming dashboard reads 0 B.	src/worker.ts has zero Access-Control-* on main (grep clean); consumer feature doc identifies missing CORS as problem #2; PerformanceResourceTiming.transferSize returns 0 cross-origin without Timing-Allow-Origin	Per-origin allowlist (the proxy serves public read-only images with no credentialed data, so * is correct and simpler); leave CORS off and keep relying on transferSize (the current broken state)	working - needs worker code + tests (fresh session)
D	Best-effort source bytes on passthrough and audio	On the passthrough, no-binding, and audio paths (no transcode runs) emit X-Transcode-Source-Bytes from the upstream Content-Length when present, so callers read an honest zero-savings rather than a missing header. Encoded bytes equal source bytes on these paths by definition.	src/worker.ts passthrough (194-201), no-binding (206-213), audio (332-340) currently emit no byte headers	Omit byte headers on non-transcode paths (leaves the consumer unable to distinguish a passthrough from a measurement gap)	working - needs worker code (fresh session)
D	Defer the /stat endpoint to its own slice	Do not build GET /stat/<source_url> in this slice. Its encoded_bytes_for:{presets} map requires running speculative transcodes per preset (real CPU), which is a separate vertical slice. Headers + CORS alone unblock the dashboard via the consumer's fetch+headers path and HEAD-probe ladder.	consumer feature doc Track A item 4 proposes /stat; project cost function minimizes bytes and CPU per asset	Build /stat now (couples a heavier speculative-transcode feature to a header-exposure slice, breaking vertical-slice discipline)	working - parked as O-open below
D	Track B (app-side) is out of scope for this repo	ProxiedImage, savings-telemetry, MetricsPage, and ArticlePage changes from the consumer feature doc belong to the consuming app's repository, not transcode-mcp. This repo owns only the proxy response contract.	consumer doc Track B file list is entirely src/components|lib|pages of the app; canon/planning/2026-05-26-worker-container-boundary.md defines this repo as the request/response envelope owner	None - cross-repo scope is not a transcode-mcp concern	stable
D	Savings semantics is an app-side decision; proxy emits primitives	The proxy emits the three primitives - source bytes, encoded bytes, and cache status (HIT/MISS/PASS) - so the consuming app can compute compression savings, delivery savings, or both with no further proxy change. The proxy takes no position on which metric to display.	consumer doc Open Question; X-Transcode-Cache already distinguishes HIT/MISS/PASS in src/worker.ts (175, 198, 210, 265, 337)	Encode a savings ratio in the proxy (couples the proxy to a presentation choice the app owns)	stable
L	Memory of canon intent diverged from as-built code	This session's memory carried the design-session transparency-echo names (X-Encode-Dimension/X-Bound-By/X-Quality) as if shipped, but the worker emits the X-Transcode-* family. The divergence surfaced only on reading src/worker.ts. Mechanism: a decision in a working handoff is intent, not as-built; code may ship a variant. Verify both the canon intent AND the shipped code before extending a contract.	design-session handoff (2026-05-29) Handoff item 2 names X-Encode-Dimension/X-Bound-By/X-Quality; src/worker.ts 263-272 emits X-Transcode-*; recurrence of the reconstruction-diverges-from-canon meta-lesson recorded in that same handoff		permanent
L	A consumer-vantage plan mislabels in-repo work as an external request	The handed-in feature doc framed the proxy changes as 'Track A - Proxy upgrade request (server-side)' to hand off to transcode.klappy.dev. But transcode-mcp IS that proxy. A request-to-self is implement-here. Read a plan's vantage point before adopting its task taxonomy.	consumer doc Track A header; repo identity (klappy/transcode-mcp is the proxy at transcode.klappy.dev)		permanent
C	Cached image entries will not carry new headers until eviction	The image Cache API key is the full request URL with no recipe/version component, and entries are stored Cache-Control: public, max-age=31536000, immutable. Already-cached URLs will serve without the new byte and CORS headers until they age out or are busted. Degradation is graceful (the consumer fallback ladder handles header absence); there is no cache poisoning because output bytes are unchanged - only headers differ.	src/worker.ts 171 (cacheKey = full request URL), 273 (immutable 1yr), 283 (cache.put clone)	Add a version component to the cache key so header changes bust old entries (out of scope here; larger cache-key change)	permanent - until cache eviction or an explicit cache-bust
C	All deploys go through Cloudflare Workers Builds	Never wrangler deploy directly and never GitHub Actions for deploys. Pushing to the branch a CF Workers Builds project is scoped to is what triggers the build. This slice's code lands in a fresh session; this session ships docs only.	project deploy architecture: prod/staging/preview, one CF Workers Builds project per Worker	wrangler deploy / GitHub Actions (both explicitly prohibited by the deploy rule)	permanent
H	Fresh session implements the code + tests	A fresh session (the context break that gives validation its independence) implements: a DRY CORS+expose helper applied to every served response; X-Transcode-Source-Bytes + X-Transcode-Encoded-Bytes on the transcode path; best-effort source bytes on passthrough/no-binding/audio; and unit tests asserting the byte headers and the CORS/expose headers on each path. Then challenge -> gate -> validate per canon/constraints/definition-of-done.md and the release-validation-gate. Unblocked: the plan is committed in this session's planning doc; no dependency outstanding.	next session
O	open	P3	/stat endpoint for speculative-transcode sizing	GET /stat/<source_url> returning {source_bytes, encoded_bytes_for:{preset->bytes}, source_content_type}, CORS-open and cached. Requires running speculative transcodes per preset (CPU cost) or returning source_bytes cheaply with a lazily-warmed encoded map. Closes via a dedicated planning doc + slice when the dashboard needs pre-fetch sizing and the speculative-transcode cost is judged acceptable.
